district,dt,future_dt,sunrise,sunset,moonrise,moonset,moon_phase,summary,temp_morn,temp_day,temp_eve,temp_night,temp_min,temp_max,feels_like_morn,feels_like_day,feels_like_eve,feels_like_night,pressure,humidity,dew_point,wind_speed,wind_gust,wind_deg,clouds,uvi,pop,rain,snow,weather_id,weather_main,weather_description,weather_icon
Dublin 1,2025-02-22 08:00:11,2025-02-22 12:00:00,2025-02-22 07:28:25,2025-02-22 17:48:58,2025-02-22 04:38:00,2025-02-22 04:38:00,0.81,Expect a day of partly cloudy with clear spells,280.68,282.96,280.92,279.66,279.24,284.23,277.61,280.13,278.64,277.07,1009,73,278.36,6.33,13.52,239,7,1.14,0.0,,,800,Clear,clear sky,01d
Dublin 1,2025-02-22 08:00:11,2025-02-23 12:00:00,2025-02-23 07:26:13,2025-02-23 17:50:54,2025-02-23 05:38:00,2025-02-23 05:38:00,0.84,Expect a day of partly cloudy with rain,283.07,284.96,283.3,281.66,280.12,285.13,278.96,284.47,282.54,277.94,1001,87,282.37,11.46,23.65,188,100,0.24,1.0,12.3,,501,Rain,moderate rain,10d
Dublin 1,2025-02-22 08:00:11,2025-02-24 12:00:00,2025-02-24 07:24:00,2025-02-24 17:52:50,2025-02-24 06:20:00,2025-02-24 06:20:00,0.87,Expect a day of partly cloudy with rain,280.13,283.46,280.63,278.17,278.17,284.05,276.48,282.27,277.84,274.54,1008,66,277.03,7.86,15.43,218,17,1.22,1.0,0.79,,500,Rain,light rain,10d
Dublin 1,2025-02-22 08:00:11,2025-02-25 12:00:00,2025-02-25 07:21:46,2025-02-25 17:54:46,2025-02-25 06:50:00,2025-02-25 06:50:00,0.91,Expect a day of partly cloudy with rain,278.14,281.02,278.24,276.41,276.41,281.22,274.04,277.75,275.24,273.0,1015,74,276.41,6.29,13.41,246,100,1.29,0.63,0.57,,500,Rain,light rain,10d
Dublin 1,2025-02-22 08:00:11,2025-02-26 12:00:00,2025-02-26 07:19:31,2025-02-26 17:56:41,2025-02-26 07:10:00,2025-02-26 07:10:00,0.94,Expect a day of partly cloudy with rain,275.92,282.64,279.75,277.67,275.16,282.64,272.37,279.56,278.09,276.47,1020,76,278.31,6.59,12.66,233,99,1.17,1.0,1.11,,500,Rain,light rain,10d
Dublin 1,2025-02-22 08:00:11,2025-02-27 12:00:00,2025-02-27 07:17:15,2025-02-27 17:58:36,2025-02-27 07:24:00,2025-02-27 07:24:00,0.98,Expect a day of partly cloudy with rain,277.41,278.11,278.17,278.66,276.49,278.79,275.32,275.98,276.51,277.63,1024,88,275.79,2.53,4.84,119,100,2.0,1.0,2.46,,500,Rain,light rain,10d
Dublin 1,2025-02-22 08:00:11,2025-02-28 12:00:00,2025-02-28 07:14:58,2025-02-28 18:00:30,2025-02-28 07:36:00,2025-02-28 07:36:00,0.0,Expect a day of partly cloudy with clear spells,276.92,282.39,279.75,280.1,276.92,282.41,274.25,279.55,275.95,276.07,1016,76,277.97,7.32,14.1,160,47,2.0,0.0,,,802,Clouds,scattered clouds,03d
Dublin 1,2025-02-22 08:00:11,2025-03-01 12:00:00,2025-03-01 07:12:41,2025-03-01 18:02:24,2025-03-01 07:46:00,2025-03-01 07:46:00,0.06,Expect a day of partly cloudy with rain,279.46,280.6,279.54,279.17,279.17,280.6,276.05,277.97,277.56,276.82,1003,88,278.37,7.18,13.32,154,100,2.0,1.0,3.72,,500,Rain,light rain,10d
Dublin 1,2025-02-22 09:01:07,2025-02-22 12:00:00,2025-02-22 07:28:25,2025-02-22 17:48:58,2025-02-22 04:38:00,2025-02-22 04:38:00,0.81,Expect a day of partly cloudy with clear spells,281.08,283.04,280.92,279.66,279.24,284.23,278.11,280.24,278.64,277.07,1009,73,278.43,6.33,13.52,239,10,1.14,0.0,,,800,Clear,clear sky,01d
Dublin 1,2025-02-22 09:01:07,2025-02-23 12:00:00,2025-02-23 07:26:13,2025-02-23 17:50:54,2025-02-23 05:38:00,2025-02-23 05:38:00,0.84,Expect a day of partly cloudy with rain,283.07,284.96,283.3,281.66,280.12,285.13,278.96,284.47,282.54,277.94,1001,87,282.37,11.46,23.65,188,100,0.24,1.0,12.3,,501,Rain,moderate rain,10d
